"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1009913127655","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009913127655","","Scientist, Cellular Immunology","GSK","Cambridge, MA","2025-10-21","yearly","direct_data","yearly",89100.0,148500.0,"USD",False,"","","organic","","","1009913127655 employees","https://www.glassdoor.com/Overview/W-EI_IE3477.htm","https://media.glassdoor.com/sql/3477/gsk-squareLogo-1665577185640.png","1009913127655 employees","Cambridge, MA","1009913127655 employees","1009913127655 employees","1009913127655 employees","sql","","1009913127655 employees","1009913127655 employees","1009913127655 employees",""
"gd-1009914085821","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009914085821","","AI Annotator, AGI Data Services","Amazon.com Services LLC","Boston, MA","2025-10-21","yearly","direct_data","yearly",40400.0,86500.0,"USD",False,"","data","organic","","","1009914085821 employees","https://www.glassdoor.com/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","1009914085821 employees","Boston, MA","1009914085821 employees","1009914085821 employees","1009914085821 employees","sql","","1009914085821 employees","1009914085821 employees","1009914085821 employees",""
"gd-1009913222884","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009913222884","","AI Engineering Summer/Fall Co-Op (June '26 - Dec '26)","Skyworks","Woburn, MA","2025-10-21","hourly","direct_data","hourly",22.0,42.0,"USD",False,"","engineering","organic","","","1009913222884 employees","https://www.glassdoor.com/Overview/W-EI_IE762.htm","https://media.glassdoor.com/sql/762/skyworks-squarelogo.png","1009913222884 employees","Woburn, MA","1009913222884 employees","1009913222884 employees","1009913222884 employees","sql","","1009913222884 employees","1009913222884 employees","1009913222884 employees",""
"gd-1009914085443","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009914085443","","Applied Scientist (Contract), Artificial General Intelligence","Amazon.com Services LLC - A57","Boston, MA","2025-10-21","hourly","direct_data","hourly",62.0,102.0,"USD",False,"","","organic","","","1009914085443 employees","https://www.glassdoor.com/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","1009914085443 employees","Boston, MA","1009914085443 employees","1009914085443 employees","1009914085443 employees","sql","","1009914085443 employees","1009914085443 employees","1009914085443 employees",""
"gd-1009913372464","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009913372464","","Senior Analyst, Data Science","Liberty Mutual","Boston, MA","2025-10-21","yearly","direct_data","yearly",104000.0,197000.0,"USD",False,"senior","data","organic","","","1009913372464 employees","https://www.glassdoor.com/Overview/W-EI_IE2874.htm","https://media.glassdoor.com/sql/2874/liberty-mutual-insurance-squarelogo-1550851957951.png","1009913372464 employees","Boston, MA","1009913372464 employees","1009913372464 employees","1009913372464 employees","sql","senior","1009913372464 employees","1009913372464 employees","1009913372464 employees",""
"gd-1009914085908","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009914085908","","Agentic AI Teacher , AGI Data Services","Amazon.com Services LLC","Boston, MA","2025-10-21","yearly","direct_data","yearly",40400.0,86500.0,"USD",False,"","data","organic","","","1009914085908 employees","https://www.glassdoor.com/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","1009914085908 employees","Boston, MA","1009914085908 employees","1009914085908 employees","1009914085908 employees","sql","","1009914085908 employees","1009914085908 employees","1009914085908 employees",""
"gd-1009914085831","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009914085831","","AI Data Trainer, AGI Data Services","Amazon.com Services LLC","Boston, MA","2025-10-21","yearly","direct_data","yearly",40400.0,86500.0,"USD",False,"","data","organic","","","1009914085831 employees","https://www.glassdoor.com/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","1009914085831 employees","Boston, MA","1009914085831 employees","1009914085831 employees","1009914085831 employees","sql","","1009914085831 employees","1009914085831 employees","1009914085831 employees",""
"gd-1009914085625","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009914085625","","Language Engineer, Artificial General Intelligence - Data Services","Amazon.com Services LLC","Boston, MA","2025-10-21","yearly","direct_data","yearly",67700.0,151400.0,"USD",False,"","engineering","organic","","","1009914085625 employees","https://www.glassdoor.com/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","1009914085625 employees","Boston, MA","1009914085625 employees","1009914085625 employees","1009914085625 employees","sql","","1009914085625 employees","1009914085625 employees","1009914085625 employees",""
"gd-1009913404152","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009913404152","","Head, Innovation Accelerator Data Science","Genentech","Boston, MA","2025-10-21","yearly","direct_data","yearly",254400.0,472400.0,"USD",False,"","data","organic","","","1009913404152 employees","https://www.glassdoor.com/Overview/W-EI_IE274.htm","https://media.glassdoor.com/sql/274/genentech-squarelogo-1594327843664.png","1009913404152 employees","Boston, MA","1009913404152 employees","1009913404152 employees","1009913404152 employees","sql","","1009913404152 employees","1009913404152 employees","1009913404152 employees",""
"gd-1009914089230","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009914089230","","Amazon Robotics - Software Development Engineer Co-Op - Spring 2026","Amazon.com Services LLC","North Reading, MA","2025-10-21","hourly","direct_data","hourly",47.0,96.0,"USD",False,"","engineering","organic","","","1009914089230 employees","https://www.glassdoor.com/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","1009914089230 employees","North Reading, MA","1009914089230 employees","1009914089230 employees","1009914089230 employees","sql","","1009914089230 employees","1009914089230 employees","1009914089230 employees",""
