Feature,OLS_Coefficient,p_value
const,-10464.587378597855,0.8896311988353254
Rating,21345.280686685754,0.002156275010607603
d0,-51982.86630617699,0.7422715896313012
d1,-20203.35908085088,0.7489498675391173
d2,30681.768447740717,0.6188805967871089
d3,88591.89943206776,0.02842540438241975
d4,-19631.95410150136,0.5971299243418391
d5,8371.541858488741,0.8845423432534633
state_AZ,-66124.14354436674,0.1992498965957714
state_CA,12909.00422893882,0.6942965375492205
state_CO,-28126.73708475245,0.4202139628323439
state_CT,-18919.150326759514,0.6814428493670617
state_DC,-44865.90973352592,0.16943821344556922
state_DE,-36990.829701247494,0.3868225294635461
state_FL,-30793.786332176132,0.3896537942173707
state_GA,-13930.749073524052,0.6891274022424136
state_IL,-31008.21539002776,0.3649138350701082
state_IN,-32594.3398928365,0.45722828940067695
state_KY,19877.60091917319,0.7299901731089091
state_LA,-27663.750897437378,0.5480881660343364
state_MA,-22523.365306232423,0.532412950515057
state_MD,-21557.583179839097,0.5209151421563768
state_MI,-25893.187207035597,0.46927819564151696
state_MN,63958.26865814393,0.23243471435838395
state_MO,-41010.52240193069,0.34575540201076904
state_MS,-85883.77295779577,0.09505994138458562
state_Missing,-15694.190568282982,0.6862413760182616
state_NC,-31165.018891634256,0.3779828404078204
state_ND,-27973.778758378343,0.6760216041920257
state_NH,8.283152049613206e-11,0.7215209929425543
state_NJ,-21819.529675716585,0.5510271816167805
state_NM,7518.729367898675,0.8959380741130756
state_NY,-4277.199680649039,0.8978415148881862
state_OH,-48537.62660755909,0.20226022102361044
state_PA,-58529.373509461686,0.11894437375393481
state_Remote,-2044.78220434385,0.951568784842094
state_TN,-9.952797944026384e-11,0.48976384923185234
state_TX,-40897.65324173938,0.23393776172378705
state_UT,-27188.40718415012,0.49141272602898933
state_VA,-15479.733232932495,0.651689827183506
state_WA,9957.66130638589,0.7771255054644852
state_WI,-32145.106464336255,0.41186750815605444
Size_1000+ Employees,26675.192709698276,0.009443471618338709
Size_200 to 1000 Employees,14969.012139533135,0.2063082081970085
Size_Unknown,17675.605648605324,0.2373609869510839
Type of ownership_Company - Private,34919.30392436493,0.48281384968956675
Type of ownership_Company - Public,21201.317401228396,0.6665092033383841
Type of ownership_Contract,-15695.252635060397,0.805220310556489
Type of ownership_Government,72325.01923377832,0.4118983235800533
Type of ownership_Hospital,13723.291469476571,0.794483529213956
Type of ownership_Nonprofit Organization,22579.90799827081,0.6046900048516195
Type of ownership_Private Practice / Firm,4644.195529856258,0.9323078305319801
Type of ownership_Self-employed,54731.68147774944,0.46965305856490336
Type of ownership_Subsidiary or Business Segment,-21937.458786245,0.6925615761188464
"Sector_Construction, Repair & Maintenance Services",-17114.34912724433,0.6844558295140484
Sector_Education,-28355.54283763514,0.5069276148302138
"Sector_Energy, Mining & Utilities",-16586.25031304195,0.5866646535767529
Sector_Financial Services,-1334.9372967790769,0.9390050387998814
Sector_Government & Public Administration,-55664.48518492894,0.441221318408743
Sector_Healthcare,-18171.523752278994,0.45610988397533314
Sector_Hotels & Travel Accommodation,-780.5439899760195,0.9857452894140103
Sector_Human Resources & Staffing,-6828.709771087952,0.8415319122706443
Sector_Information Technology,7479.818981800596,0.6170914996694316
Sector_Insurance,-4659.848117325788,0.8310443357514247
Sector_Legal,2.5099441660064182e-11,0.20393012708427685
Sector_Management & Consulting,6276.653176160915,0.7232596602869761
Sector_Manufacturing,-8362.44422579604,0.6375327810979933
Sector_Media & Communication,8353.863084178243,0.6822814803336414
Sector_Missing,-18752.135878024055,0.37857801471600316
Sector_Nonprofit & NGO,-27259.743789687378,0.5143650934848465
Sector_Personal Consumer Services,-34104.92583870469,0.43606456342189315
Sector_Pharmaceutical & Biotechnology,675.6581260729436,0.9727834753070772
Sector_Real Estate,14261.37739752487,0.7388819906372806
Sector_Restaurants & Food Service,19843.406376659223,0.5879428119359428
Sector_Retail & Wholesale,10580.905035266383,0.5979913212994297
Sector_Telecommunications,87589.38276980263,0.03998256227686288
Sector_Transportation & Logistics,15914.046306047216,0.7202819387733608
